Temporada,episodio_numero,titulo,fecha_emision,calificacion,votos_totales,descripcion
6,6,Hal's Christmas Gift,2004-12-19,8.0,(524),"Strapped for cash for the holidays, Hal and Lois decide that all Christmas gifts this year should be handmade. But when Hal sees the thoughtful, quality gifts the boys made, he feels bad about his shoddy attempt and panics."
6,7,Hal Sleepwalks,2005-01-16,7.8,(489),"Hal is stressed about a gift for Lois for their 20th anniversary. He begins sleepwalking, and Reese discovers Hal is highly suggestible in that state. Meanwhile, two of Dewey's Busey classmates run for student council."
6,8,Lois Battles Jamie,2005-01-23,7.6,(475),"Trying to win a battle of wills with young Jamie, Lois brings Francis home to help her remember how she conquered him when he was a baby; and Malcolm, Reese, and Dewey struggle to dream up a fun use for an old diving board."
6,9,Malcolm's Car,2005-01-30,7.6,(475),"Malcolm uses his illegal gambling profits to buy a junk car, which quickly takes over his life; Hal discovers a talent for hair styling; and Lois discovers Craig is having an affair with the boss' wife."
6,10,Billboard,2005-02-13,8.2,(555),"When Lois comes out of the store and catches the boys vandalizing a suggestive billboard from a strip club, Malcolm decides to challenge her by changing the display to ""I Want Respect"", thus starting a protest against it. Everyone in the lot believes them and follows the ruse. However, Lois doesn't believe them and thinks they're just being hooligans as usual."
6,11,Dewey's Opera,2005-02-20,8.3,(605),"When his parents fight over a new bed, Dewey writes an opera based on their arguments; Malcolm gets into ""street luging"" and becomes obsessed with beating a cocky rival, unaware the talented competitor is Stevie; and Jamie has his first crush on a baby he sees through the window."
6,12,Living Will,2005-03-06,7.4,(462),"Hal has a hard decision on his hands, one of the neighbors has been in a coma and he has to decide whether or not to keep him on life support or pull the plug. He's always turned to Lois to make decisions for him. After another argument between the nurse and the doctor, he ends up paralyzed from the waist up. Meanwhile, Craig enlists Reese, Malcolm and Dewey to help him fight dirty against a childhood bully, who is indeed his estranged, healthy father."
6,13,Tiki Lounge,2005-03-13,7.5,(474),"When Hal and Lois carve out some time for deep personal discussions, Hal is upset to learn Lois doesn't believe in an afterlife; Malcolm is roped into emceeing a silly charity auction at school, but can't help taking his responsibility seriously; and Reese feuds with Jamie."
6,14,Ida Loses a Leg,2005-03-20,7.7,(474),"When Grandma Ida visits the family once more, she ends up saving Dewey's life from being run over thus having her leg amputated. Lois forces Francis to take care of his grandma as he's unemployed. Meanwhile Reese and Malcolm decides to go three days without sleeping on the grounds that one of them will be super glued if he fall asleep. Dewey tries to have a leg funeral after feeling bad about what happened to Ida."
6,15,Chad's Sleepover,2005-03-27,7.7,(468),Dewey invites a destructive friend for an overnight visit; Lois is on the hunt for a decade old blender warranty.
6,16,No Motorcycles,2005-04-03,7.8,(476),"Francis shows up for his 21st birthday anticipating Hal will come through on a promise to go on a motorcycle road trip; meanwhile, the boys are trapped in the house while a bully waits outside."
6,17,Butterflies,2005-04-10,7.6,(461),"It's Spring break, and Malcolm is stuck working the graveyard shift with his mom, and Reese inherits a box of caterpillars from a shady pest controller. Malcolm investigates something weird at work."
6,18,Ida's Dance,2005-04-17,7.7,(492),Ida forces Lois to bake a special tart for an old-world saint's holiday; Malcolm meets his match with music appreciation; and Hal tries to bond with Reese by watching gory horror movies with him.
6,19,Motivational Speaker,2005-04-24,7.8,(486),"The neighborhood dog pack adopts Reese as their new best friend, and Dewey gets caught after spending time with a new, better mom. Hal becomes the company's motivational guru."
6,20,Stilts,2005-05-01,7.5,(472),Malcolm gets promoted to a position promoting the Lucky Aide from atop a pair of stilts; Hal tries to make up for accidentally blowing the household budget on a phone-sex line; Dewey thinks Jamie has found a stash of Lois' jewelry hidden by Francis years ago; and Reese joins multiple drug studies.
6,21,Buseys Take a Hostage,2005-05-08,7.6,(469),"Unable to function without Dewey, Buseys special needs class panics and takes their teacher hostage when he threatens to call the police on one of the kids for a minor infraction. After other faculty members are taken, a return visit from Dewey accompanied by Francis leads to a new revelation about the ""education"" the kids are receiving."
6,22,Mrs. Tri-County,2005-05-15,7.7,(468),"The boys, in an effort to prank their mother, enroll Lois in the Tri-County Mom Pageant, with Hal as her coach."
7,1,Burning Man,2005-09-30,8.4,(673),"The family joins the Burning Man Festival, where Reese and Lois find creative freedom, Malcolm finds love, Hal finds a big audience and Dewey find himself doing all the chores."
7,2,Health Insurance,2005-10-07,7.7,(479),"Having forgotten to pay the bill for the family's health insurance, Hal tries to protect the boys from all accidents for the weekend; meanwhile, Lois accidentally gets Craig into trouble with their co-workers."
7,3,Reese vs. Stevie,2005-10-21,7.6,(485),"Dewey and Hal attempt to quit their vices, Reese threatens Stevie, and Lois opens up to Jamie."
7,4,Halloween,2005-10-28,7.9,(495),"Reese and Malcolm find out that there was a murder in the family's house before they moved in. Hal is highly agitated in fear of ghosts from the murder and Malcolm tries to reason him out of it. Meanwhile Reese and Dewey take Jamie Trick or Treating and make a persistent enemy, whereas Lois is stuck at work because of a shoplifter no one want to take care of."
7,5,Jessica Stays Over,2005-11-04,8.1,(522),"Jessica teaches Malcolm how to manipulate Lois, Reese prepares to mail himself to China, and Hal is terrorized by a bee."
7,6,Secret Boyfriend,2005-11-11,7.6,(490),Malcolm gets involved in complicated relationships with the hottest girl in school and Jessica. Lois worries about what Reese will be doing in the future.
7,7,Blackout,2005-11-18,8.2,(535),"One fish, two kobe steaks, three girls, four sub-plots, and five brothers come together for an evening at home when the power goes out."
7,8,Army Buddy,2005-12-02,7.6,(471),Reese is visited by an Army buddy who develops a crush on Lois. Hal starts feeling useless when Lois buys orthotics and no longer needs his tender loving care.
7,9,Malcolm Defends Reese,2005-12-16,7.7,(474),"When Malcolm's arch nemesis and former teacher, Mr. Herkabe, crosses the line and hurts Reese's feelings too many times, he decides to pay him back for hurting his brother by revealing his former teacher's awful secret. He had flunked gym and lied about it. Because of that truth, the Principal decides to strip him of his trophy and hand it back to the one who passed gym, despite her blindness. Meanwhile, Hal gives Dewey a ton of wrong advices to a girl he likes."
7,10,Malcolm's Money,2006-01-06,7.5,(476),"While Malcolm battles a yearbook photographer to get a good photo, Hal, Lois, and Dewey intercept a scholarship check addressed to Malcolm and try to rationalize spending the money; Reese goes back to work delivering meat."
7,11,Bride of Ida,2006-01-13,7.8,(477),"In a bid to get to catch the flight to St. Louis for Dewey's piano competition, everything seems to be going wrong for him. Meanwhile, Reese and Malcolm compete with each other to see whether Reese is man enough for the likes of Ida."
7,12,College Recruiters,2006-01-20,7.5,(467),Raduca whips Reese into shape while pursuing her own interests; Dewey visits unemployed Francis; Hal discovers the benefits from taking on Malcolm's college interviewers.
7,13,Mono,2006-02-12,7.7,(460),"While Lois and Malcolm are laid up with mono, Hal discovers another side to the neighborhood; meanwhile, Dewey tries to introduce Reese to kinder, gentler ways of dealing with Jamie."
7,14,Hal Grieves,2006-02-19,7.6,(466),"Hal's father dies, but he fails to show emotion for his departed father, which leads him to wonder whether his children would miss him when he dies."
7,15,A.A.,2006-03-05,7.5,(458),"Francis has made it through a year of sobriety and he invites the family to his AA meeting, until Lois discovers that he has invited her there to place his problems on her."
7,16,Lois Strikes Back,2006-03-19,8.7,(682),"After Reese is severely humiliated by four girls at school, Lois exacts revenge on them; and Hal builds a pitching machine while hiding out from Lois in the garage."
7,17,Hal's Dentist,2006-03-26,7.8,(456),"Hal feels betrayed when his friend Trey charges $2,000 to fix Hal's tooth; Malcolm and Dewey find a new mattress; and Reese teaches Lois how to ride a bike."
7,18,Bomb Shelter,2006-04-02,8.3,(521),"Trying to bury the fruits of their mischief--one of their father's trophies in the backyard--Reese and Dewey find an old bunker, in which they trap Hal to avoid punishment. Malcolm and Lois are in a competitive mood. Malcolm discovers his talent to dance, which he takes to a dance competition with Danielle (Lynsey Bartilson) and Lois keeps hold on a car until the bitter end."
7,19,Stevie in the Hospital,2006-04-09,7.5,(453),Malcolm's afraid to visit his best friend Stevie in the hospital; Reese becomes a master telemarketer; and someone secretly tries to drive Lois crazy.
7,20,Cattle Court,2006-04-16,7.3,(447),"Reese pretends to be a vegetarian; Hal decides to teach Dewey a lesson about the game of ""Life""; and Malcolm talks Craig into standing up to Lois and then regrets it."
7,21,Morp,2006-04-23,7.6,(570),"Malcolm decides to organise a ""Morp"", an alternative to the traditional Prom, for those pupils shunned by the ""cool"" kids. Meanwhile, Reese agrees to hire himself out as an escort for the evening."
7,22,Graduation,2006-05-14,9.1,"(1,055)","Having been denied a very lucrative job in a software company, Malcolm accepts the vision his parents have for him. The first US president that will actually keep in mind the best interests of poor people like his own family."
